model,n_times,rank
SIR,31,2
SIR,41,2
SIR,51,2
SIR,61,2
SIR,81,2
SIR,121,2
SEIR,31,3
SEIR,41,3
SEIR,51,3
SEIR,61,3
SEIR,81,3
SEIR,121,3
Goodwin oscillator,31,4
Goodwin oscillator,41,4
Goodwin oscillator,51,4
Goodwin oscillator,61,4
Goodwin oscillator,81,4
Goodwin oscillator,121,4
JAK-STAT signalling,23,4
JAK-STAT signalling,31,4
JAK-STAT signalling,39,4
JAK-STAT signalling,46,4
JAK-STAT signalling,61,4
JAK-STAT signalling,91,4
Two-compartment PK (oral),37,4
Two-compartment PK (oral),49,4
Two-compartment PK (oral),61,4
Two-compartment PK (oral),73,4
Two-compartment PK (oral),97,4
Two-compartment PK (oral),145,4
Michaelis-Menten kinetics,31,2
Michaelis-Menten kinetics,41,2
Michaelis-Menten kinetics,51,2
Michaelis-Menten kinetics,61,2
Michaelis-Menten kinetics,81,2
Michaelis-Menten kinetics,121,2
Lotka-Volterra,23,3
Lotka-Volterra,31,3
Lotka-Volterra,39,3
Lotka-Volterra,46,3
Lotka-Volterra,61,3
Lotka-Volterra,91,3
HIV viral dynamics,31,5
HIV viral dynamics,41,5
HIV viral dynamics,51,5
HIV viral dynamics,61,5
HIV viral dynamics,81,5
HIV viral dynamics,121,5
